NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Start Date,Primary Completion Date,Completion Date,Patient friendly summary,Field1,Relevant for rare cancer?,Genetic,Key inclusion criteria,Key exclusion criteria,Gene,Rare Cancer Types,Location,Tumour agnostic?,Reviewed,Drugs,Biologicals,Max ECOG,For untreated patients?,Trial cohort,Cohorts,Trial Question,Trial Drug,How given?,Updated locations
"NCT04068597","Study to Evaluate CCS1477 in Haematological Malignancies","https://clinicaltrials.gov/study/NCT04068597",,"RECRUITING","A Phase 1/2a study to assess the safety, tolerability, PK and biological activity of CCS1477 in patients with Non-Hodgkin Lymphoma, Multiple Myeloma, Acute Myeloid Leukaemia or High Risk Myelodysplastic syndrome.","Haematological Malignancy|Acute Myeloid Leukemia|Non Hodgkin Lymphoma|Multiple Myeloma|Higher-risk Myelodysplastic Syndrome|Peripheral T Cell Lymphoma","DRUG: CCS1477|DRUG: Pomalidomide|DRUG: Dexamethasone|DRUG: Azacitidine|DRUG: Venetoclax","CellCentric Ltd.",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",250,"INTERVENTIONAL","08/09/19 00:00:00","06/30/25 00:00:00","06/30/25 00:00:00",0,112,1,0,,,112,112,112,0,1,112,112,"2",0,,73,,,,73
"NCT04077723","A Study to Evaluate the Safety, Pharmacokinetics and Preliminary Anti-Tumor Activity of RO7227166 in Combination With Obinutuzumab and in Combination With Glofitamab Following a Pre-Treatment Dose of Obinutuzumab Administered in Participants With Relapsed","https://clinicaltrials.gov/study/NCT04077723",,"RECRUITING","This is a phase I/II, open-label, dose-escalation study designed to evaluate the safety, tolerability, and efficacy of RO7227166 in participants with relapsed/refractory Non-Hodgkin's Lymphoma (r/r NHL). RO7227166 will be administered by intravenous (IV) infusion in combination with obinutuzumab and in combination with glofitamab. A fixed dose of obinutuzumab (Gpt; pre-treatment) will be administered seven days prior to the first administration of RO7227166 and seven days prior to the first administration of glofitamab. This entry-into-human study is divided into a dose-escalation stage (Part I and Part II) and a dose expansion stage (Part III).","Lymphoma, Non-Hodgkin","DRUG: RO7227166|DRUG: Obinutuzumab|DRUG: Glofitamab|DRUG: Tocilizumab","Hoffmann-La Roche",,"ALL","ADULT, OLDER_ADULT","PHASE1",498,"INTERVENTIONAL","08/13/19 00:00:00","03/31/25 00:00:00","03/31/25 00:00:00",0,356,1,0,"NB UK locations active but not recruiting",,356,356,356,0,1,356,356,"1",0,,74,,,,74
"NCT04079166","SCIB1 and iSCIB1+ in Melanoma Patients Receiving Nivolumab With Ipilimumab or SCIB1 With Pembrolizumab (The SCOPE Study)","https://clinicaltrials.gov/study/NCT04079166",,"RECRUITING","The purpose of this study is to find out if two new treatment cancer vaccines called SCIB1 and iSCIB1+ can be used safely when added to nivolumab (Opdivo) with ipilimumab (Yervoy), or SCIB1 with pembrolizumab (Keytruda). Pembrolizumab or nivolumab with ipilimumab are standard treatments approved for patients with advanced melanoma (skin cancer).

The study will also look to see if SCIB1 or iSCIB1+ can increase the likelihood that melanoma patients will respond to the standard treatments, and also if SCIB1 and iSCIB1+ can help to make those responses last longer. SCIB1 and iSCIB1+ are considered experimental. SCIB1 has been given to melanoma patients in an earlier study. It was generally well-tolerated, and researchers saw some signs that it may help to stimulate the immune system, which is a way in which the body can fight the cancer. iSCIB1+ is similar to SCIB1 but might benefit more patients with melanoma.","Malignant Melanoma|Melanoma (Skin)|Melanoma Stage III|Melanoma Stage IV","BIOLOGICAL: SCIB1 or iSCIB1+ DNA vaccine","Scancell Ltd",,"ALL","ADULT, OLDER_ADULT","PHASE2",130,"INTERVENTIONAL","08/19/19 00:00:00","01/31/26 00:00:00","01/31/26 00:00:00",0,338,1,1,,,338,338,338,0,1,338,338,"1",1,,75,,,,75
"NCT04083599","GEN1042 Safety Trial and Anti-tumor Activity in Subjects With Malignant Solid Tumors","https://clinicaltrials.gov/study/NCT04083599",,"RECRUITING","To evaluate the safety and anti-tumor activity of GEN1042 in patients with metastatic or locally advanced solid tumors.","Malignant Solid Tumor|Non Small Cell Lung Cancer (NSCLC)|Colorectal Cancer (CRC)|Melanoma|Head and Neck Squamous Cell Carcinoma (HNSCC)|Pancreatic Ductal Adenocarcinoma (PDAC)","BIOLOGICAL: GEN1042|DRUG: Pembrolizumab|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: 5-FU|DRUG: Gemcitabine|DRUG: Nab paclitaxel|DRUG: Pemetrexed|DRUG: Paclitaxel","Genmab","BioNTech SE","ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",1287,"INTERVENTIONAL","09/17/19 00:00:00","07/01/25 00:00:00","10/01/25 00:00:00",1,203,0,0,"Completed in UK centres",,203,203,203,0,1,203,203,,0,,76,,,,76
"NCT04091126","Study of Belantamab Mafodotin Plus Standard of Care (SoC) in Newly Diagnosed Multiple Myeloma","https://clinicaltrials.gov/study/NCT04091126","DREAMM 9","RECRUITING","This study will evaluate the safety, pharmacokinetics, pharmacodynamics and clinical activity of belantamab mafodotin in combination with Velcade (bortezomib), Revlimid (lenalidomide), dexamethasone (VRd) and will determine recommended phase 3 dose (RP3D) in adult participants with newly diagnosed multiple myeloma (NDMM). Participants will receive the combination of bortezomib, lenalidomide and dexamethasone (VRd) on a 3-week cycle until cycle 8, followed by the combination of lenalidomide and dexamethasone (Rd) on a 4-week cycle thereafter as per dosing schedule. Participants will receive belantamab mafodotin on a schedule that is dependent on the cohort to which they are assigned. Belantamab mafodotin will be administered in combination with VRd every 3 weeks (Q3W), every 6 weeks (Q6W), or every 9 weeks (Q9W) to Cycle 8, and then in combination with Rd every 4 weeks (Q4W), every 8 weeks (Q8W), or every 12 weeks (Q12W) thereafter. Participants will complete an End of Treatment (EOT) visit at the point of study treatment discontinuation, followed by a Safety Follow-up visit 70 days after EOT.","Multiple Myeloma","DRUG: Belantamab mafodotin|DRUG: Bortezomib|DRUG: Lenalidomide|DRUG: Dexamethasone","GlaxoSmithKline",,"ALL","ADULT, OLDER_ADULT","PHASE1",144,"INTERVENTIONAL","12/18/19 00:00:00","11/15/24 00:00:00","06/02/25 00:00:00",0,430,1,0,"Newly diagnosed patients",,430,430,430,0,1,430,430,"not stated",0,,77,,,,77
"NCT04094610","A Study of Repotrectinib in Pediatric and Young Adult Subjects Harboring ALK, ROS1, OR NTRK1-3 Alterations","https://clinicaltrials.gov/study/NCT04094610",,"RECRUITING","Phase 1 will evaluate the safety and tolerability at different dose levels of repotrectinib in pediatric and young adult subjects with advanced or metastatic malignancies harboring anaplastic lymphoma kinase (ALK), receptor tyrosine kinase encoded by the gene ROS1 (ROS1), or neurotrophic receptor kinase genes encoding TRK kinase family (NTRK1-3) alterations to estimate the Maximum Tolerated Dose (MTD) or Maximum Administered Dose (MAD) and select the Pediatric Recommended Phase 2 Dose (RP2D).

Phase 2 will determine the anti-tumor activity of repotrectinib in pediatric and young adult subjects with advanced or metastatic malignancies harboring ROS1 or NTRK1-3 alterations.","Locally Advanced Solid Tumors|Metastatic Solid Tumors|Lymphoma|Primary CNS Tumors","DRUG: Oral repotrectinib (TPX-0005)","Turning Point Therapeutics, Inc.",,"ALL","CHILD, ADULT","PHASE1|PHASE2",75,"INTERVENTIONAL","03/12/20 00:00:00","09/30/26 00:00:00","09/30/27 00:00:00",0,27,1,1,"<25yr",,27,27,27,0,1,27,27,"3",0,,78,,,,78
"NCT04104776","A Study of CPI-0209 in Patients With Advanced Solid Tumors and Lymphomas","https://clinicaltrials.gov/study/NCT04104776",,"RECRUITING","First-in-human, open-label, sequential dose escalation and expansion study of CPI-0209 in patients with advanced solid tumors and lymphomas. CPI-0209 is a small molecule inhibitor of EZH2.","Advanced Solid Tumor|Diffuse Large B Cell Lymphoma|Lymphoma, T-Cell|Mesothelioma, Malignant|Prostatic Neoplasms, Castration-Resistant|Endometrial Cancer|Ovarian Clear Cell Carcinoma","DRUG: CPI-0209","Constellation Pharmaceuticals",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",210,"INTERVENTIONAL","09/18/19 00:00:00","12/31/25 00:00:00","03/01/26 00:00:00",0,238,1,1,,,238,238,238,1,1,238,238,"1",0,,79,,,,79
"NCT04106115","DURvalumab in Combination With S-488210/S-488211 vAccine in Non-muscle Invasive Bladder CancEr","https://clinicaltrials.gov/study/NCT04106115","DURANCE","RECRUITING","DURANCE is a two part, phase Ib/II, multi-centre study to assess the safety and activity of S-488210/S-488211 in combination with durvalumab, in patients with non-muscle invasive bladder cancer (NMIBC).","Bladder Cancer","DRUG: Durvalumab|BIOLOGICAL: S-488210/S-488211","University College, London","AstraZeneca|Shionogi","ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",64,"INTERVENTIONAL","03/25/22 00:00:00","05/31/25 00:00:00","05/31/29 00:00:00",0,180,1,0,,,180,180,180,0,1,180,180,"1",0,,80,,,,80
"NCT04116502","MITHRIDATE: Ruxolitinib Versus Hydroxycarbamide or Interferon as First Line Therapy in High Risk Polycythemia Vera","https://clinicaltrials.gov/study/NCT04116502","MITHRIDATE","RECRUITING","The trial will be a phase III, randomised-controlled, multi-centre, international, open-label trial consisting of ruxolitinib versus best available therapy, where best available therapy is a choice of interferon alpha, any formulation permitted (IFN) or hydroxycarbamide (HC), and which will be elected by the Investigator prior to randomisation.","Polycythemia Vera","DRUG: Ruxolitinib|DRUG: Hydroxycarbamide|DRUG: Interferon-Alpha","University of Birmingham","Novartis|MPN Voice|National Cancer Institute, France","ALL","ADULT, OLDER_ADULT","PHASE3",586,"INTERVENTIONAL","10/25/19 00:00:00","08/01/26 00:00:00","02/01/28 00:00:00",1,397,1,0,,,397,397,397,0,1,397,397,"not stated",0,,81,,,,81
"NCT04140500","Dose Escalation Study of a PD1-LAG3 Bispecific Antibody in Patients With Advanced and/or Metastatic Solid Tumors","https://clinicaltrials.gov/study/NCT04140500",,"RECRUITING","This is a first-in-human, open-label, multicenter, Phase I multiple-ascending dose (MAD) study of RO7247669, an anti PD-1 (programmed death-1) and LAG-3 (Lymphocyte-activation gene 3) bispecific antibody, for participants with advanced and/or metastatic solid tumors. This study aims to establish the maximum tolerated dose (MTD) and/or define the recommended phase 2 dose (RP2D) based on the safety, tolerability, pharmacokinetic (PK) and/or pharmacodynamic (PD) profile of RO7247669, and to evaluate preliminary anti-tumor activity in participants with solid tumors. An expansion part of the study is planned to enroll tumor-specific cohorts to evaluate anti-tumor activity of the MTD and/or RP2D of RO7247669 and to confirm safety and tolerability in participants with selected tumor types.","Solid Tumors|Metastatic Melanoma|Non-small Cell Lung Cancer|Esophageal Squamous Cell Carcinoma","DRUG: RO7247669","Hoffmann-La Roche",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",320,"INTERVENTIONAL","11/11/19 00:00:00","12/31/25 00:00:00","12/31/25 00:00:00",0,216,1,0,,,216,216,216,0,1,216,216,"1",0,,82,,,,82
"NCT04180371","Study BT5528-100 in Patients With Advanced Solid Tumors Associated With EphA2 Expression","https://clinicaltrials.gov/study/NCT04180371",,"RECRUITING","This clinical trial is evaluating a drug called BT5528 alone and in combination with nivolumab in participants with advanced solid tumors historically known for expression of EphA2. The main goals of this study are to:

* Find the recommended dose(s) of BT5528 that can be given safely to participants alone and in combination with nivolumab
* Learn more about the side effects of BT5528
* Learn about how effective BT5528 is for the treatment of ovarian cancer, urothelial/bladder cancer, lung cancer (NSCLC), triple-negative breast cancer, head and neck cancer (HNSCC), and gastric/upper gastrointestinal cancer.
* Learn more about BT5528 therapy alone and in combination with nivolumab.","Advanced Solid Tumor Historically Known for High EphA2 Expression|Urothelial Cancer|Ovarian Cancer|Non-small Cell Lung Cancer|Head and Neck Cancer|Triple Negative Breast Cancer|Gastric/Upper Gastrointestinal Cancer","DRUG: BT5528|DRUG: Nivolumab","BicycleTx Limited",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",288,"INTERVENTIONAL","11/07/19 00:00:00","12/31/23 00:00:00","12/31/24 00:00:00",1,217,1,1,,,217,217,217,0,1,217,217,"1",0,,83,,,,83
"NCT04183166","A Clinical Trial Evaluating TG4050 in Head and Neck Cancer","https://clinicaltrials.gov/study/NCT04183166",,"RECRUITING","This is a multicenter, open-label, two arms, randomized, phase I/II study evaluating the safety and tolerability as well as some activity parameters of TG4050 in patients with squamous cell carcinoma of the head and neck (SCCHN).","Squamous Cell Carcinoma of Head and Neck","DRUG: TG4050","Transgene",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",80,"INTERVENTIONAL","12/12/19 00:00:00","12/30/27 00:00:00","12/30/28 00:00:00",0,341,1,0,,,341,341,341,0,1,341,341,"1",0,,84,,,,84
"NCT04185883","Sotorasib Activity in Subjects With Advanced Solid Tumors With KRAS p.G12C Mutation (CodeBreak 101)","https://clinicaltrials.gov/study/NCT04185883",,"RECRUITING","To evaluate the safety and tolerability of sotorasib administered in investigational regimens in adult participants with KRAS p.G12C mutant advanced solid tumors.","Advanced Solid Tumors|Kirsten Rat Sarcoma (KRAS) pG12C Mutation","DRUG: Sotorasib|DRUG: Trametinib|DRUG: RMC-4630|DRUG: Afatinib|DRUG: Pembrolizumab|DRUG: Panitumumab|DRUG: Carboplatin, pemetrexed, docetaxel, paclitaxel|DRUG: Atezolizumab|DRUG: Palbociclib|DRUG: MVASIÂ® (bevacizumab-awwb)|DRUG: TNO155|DRUG: IV Chemother","Amgen",,"ALL","ADULT, OLDER_ADULT","PHASE1",1200,"INTERVENTIONAL","12/17/19 00:00:00","09/10/25 00:00:00","03/13/28 00:00:00",0,111,1,1,"KRASpG12C mutation",,111,111,111,0,1,111,111,"not stated",0,,85,,,,85
"NCT04204941","Tazemetostat in Combination With Doxorubicin as Frontline Therapy for Advanced Epithelioid Sarcoma","https://clinicaltrials.gov/study/NCT04204941",,"RECRUITING","The participants of this study will have advanced epithelioid sarcoma. Sarcoma is a cancer of the connective tissues, such as nerves, muscles and bones. Epithelioid sarcoma is an ultra-rare sarcoma of the soft-tissue.

Part 1 of this trial will evaluate the safety and the level of the study drug that the study drug combinations can be tolerated (known as tolerability). It is also designed to establish a recommended study drug dosage for the next part of the study.

Part 2 will evaluate and compare for each of the study drug combinations how long participants live without their disease getting worse.

The study drug is called tazemetostat. The study will test tazemetostat in combination with doxorubicin compared to placebo (dummy treatment) in combination with doxorubicin. Doxorubicin is a current front line treatment for epithelioid sarcoma","Advanced Soft-tissue Sarcoma|Advanced Epithelioid Sarcoma","DRUG: Tazemetostat|DRUG: Doxorubicin HCl|DRUG: Tazemetostat|DRUG: Placebo|DRUG: Doxorubicin HCl","Epizyme, Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE3",164,"INTERVENTIONAL","12/19/19 00:00:00","01/28/29 00:00:00","01/01/30 00:00:00",0,390,0,0,"COMPLETED IN UK",,390,390,390,0,1,390,390,,0,,86,,,,86
"NCT04236414","Investigating Safety, Tolerability, Efficacy and PK of Olaparib in Paediatric Patients With Solid Tumours","https://clinicaltrials.gov/study/NCT04236414",,"RECRUITING","A study to find out whether olaparib is safe and well tolerated when administered to children and adolescents with solid tumours.","Solid Tumours","DRUG: Olaparib","AstraZeneca",,"ALL","CHILD, ADULT","PHASE1",30,"INTERVENTIONAL","01/14/20 00:00:00",,,0,1,0,0,"<18",,1,1,1,0,1,1,1,,0,,88,,,,88
"NCT04240002","A Study of Gilteritinib (ASP2215) Combined With Chemotherapy in Children, Adolescents and Young Adults With FMS-like Tyrosine Kinase 3 (FLT3)/Internal Tandem Duplication (ITD) Positive Relapsed or Refractory Acute Myeloid Leukemia (AML)","https://clinicaltrials.gov/study/NCT04240002",,"RECRUITING","The purpose of the phase 1 portion (dose escalation) of the study will be to establish an optimally safe and biologically active recommended phase 2 dose (RP2D) and/or to determine maximum tolerated dose (MTD) for gilteritinib in sequential combination with fludarabine, cytarabine and granulocyte colony-stimulating factor (FLAG). The purpose of the phase 2 portion (dose expansion) is to determine complete remission (CR) rates and composite complete remission (CRc) rates after two cycles of therapy. The study will also assess safety, tolerability and toxicities of gilteritinib in combination with FLAG, evaluate FLT3 inhibition, assess pharmacokinetics (PK), perform serial measurements of minimal residual disease, obtain preliminary estimates of 1-year event free survival (EFS) and overall survival (OS) rate and assess the acceptability as well as palatability of the formulation.

One cycle is defined as 28 days of treatment. A participant completing 1 or 2 treatment cycles in phase 1 or 2 will have the option to participate in long term treatment (LTT) with gilteritinib (for up to 2 years).","Acute Myeloid Leukemia (AML)|Acute Myeloid Leukemia With FMS-like Tyrosine Kinase 3 (FLT3) Mutation / Internal Tandem Duplication (ITD)","DRUG: gilteritinib|DRUG: fludarabine|DRUG: cytarabine|DRUG: granulocyte colony-stimulating factor (G-CSF)","Astellas Pharma Global Development, Inc.",,"ALL","CHILD, ADULT","PHASE1|PHASE2",97,"INTERVENTIONAL","09/04/20 00:00:00","08/31/27 00:00:00","08/31/31 00:00:00",0,405,1,1,"<21",,405,405,405,0,1,405,405,"3",0,,89,,,,89
"NCT04241185","Efficacy and Safety of Pembrolizumab (MK-3475) in Combination With Chemoradiotherapy (CRT) Versus CRT Alone in Muscle-invasive Bladder Cancer (MIBC) (MK-3475-992/KEYNOTE-992)","https://clinicaltrials.gov/study/NCT04241185",,"RECRUITING","Researchers are looking for new ways to treat muscle-invasive bladder cancer (MIBC). MIBC is a type of cancer that has not spread from the muscles in the bladder to other parts of the body.

MIBC is treated by having surgery to remove the bladder (cystectomy). Not all people choose to have surgery and want to keep their bladder using other treatments.

Chemoradiotherapy (CRT)- is a type of non-surgical treatment for MIBC which combines Chemotherapy (a treatment with medicine to destroy cancer cells or stop them growing) and Radiation therapy (a treatment that uses beams of intense energy \[like X-rays\] to shrink or get rid of tumors).

Pembrolizumab is an immunotherapy, which is a treatment that helps the immune system fight cancer.

A placebo looks like the study medicine but has no study medicine in it. Using a placebo helps researchers better understand if the study medicine works.

The goal of this study is to learn: 1. If a study medicine pembrolizumab given with Chemoradiotherapy (CRT) can help people live longer without their cancer growing, spreading, or coming back compared to placebo given with CRT. 2.About the safety and how well people tolerate CRT alone or in combination with pembrolizumab.","Urinary Bladder Neoplasms","DRUG: Pembrolizumab|RADIATION: Conventional Radiotherapy (Bladder only)|RADIATION: Conventional Radiotherapy (Bladder and pelvic nodes)|RADIATION: Hypofractionated Radiotherapy (Bladder only)|DRUG: Cisplatin|DRUG: Fluorouracil (5-FU)|DRUG: Mitomycin C (MM","Merck Sharp & Dohme LLC",,"ALL","ADULT, OLDER_ADULT","PHASE3",636,"INTERVENTIONAL","05/19/20 00:00:00","06/10/29 00:00:00","06/10/31 00:00:00",0,81,1,0,,,81,81,81,0,1,81,81,"2",0,,90,,,,90
"NCT04243499","First-in-Human Study of ICT01 in Patients With Advanced Cancer","https://clinicaltrials.gov/study/NCT04243499","EVICTION","RECRUITING","Part 1 will be a dose escalation study of IV ICT01 (a monoclonal antibody targeting BTN3A) as monotherapy in patients with advanced solid or hematologic tumors, followed by a cohort examining the combination of ICT01 plus pembrolizumab (Keytruda). Part 2 will be a cohort expansion into 2 solid tumor indications and one hematologic malignancy for ICT01 monotherapy, and 3 solid tumor indications for the combination of ICT01 plus pembrolizumab.","Solid Tumor, Adult|Hematopoietic/Lymphoid Cancer","BIOLOGICAL: IV ICT01","ImCheck Therapeutics",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",150,"INTERVENTIONAL","02/10/20 00:00:00","06/01/25 00:00:00","12/01/25 00:00:00",1,121,1,0,,,121,121,121,0,1,121,121,"1",0,,91,,,,91
"NCT04262427","The CAPER Trial: A Phase Ib Clinical Trial of Cyclophosphamide And PEmbrolizumab in Metastatic Renal Cell Carcinoma","https://clinicaltrials.gov/study/NCT04262427","CAPER","RECRUITING","This is an open label investigator initiated Phase Ib study of combination pembrolizumab (Keytruda), 200mg IV 3 weekly (Q3W) with 50mg oral cyclophosphamide daily (OD) in metastatic renal cell carcinoma patients. 21 patients will be recruited within the United Kingdom (UK) will to examine the efficacy of the combination for up to 35 administrations (2 years). This study will be conducted in compliance with Good Clinical Practice (GCP) and all relevant regulations.","Metastatic Renal Cell Carcinoma","DRUG: Cyclophosphamide 50mg|DRUG: Pembrolizumab 25 mg/1 ML Intravenous Solution [KEYTRUDA]","The Christie NHS Foundation Trust","Merck Sharp & Dohme LLC|University of Liverpool|University of Manchester","ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",21,"INTERVENTIONAL","04/28/21 00:00:00","06/01/25 00:00:00","12/01/25 00:00:00",0,400,1,0,,,400,400,400,0,1,400,400,"1",0,,92,,,,92
"NCT04262466","Safety and Efficacy of IMC-F106C as a Single Agent and in Combination With Checkpoint Inhibitors","https://clinicaltrials.gov/study/NCT04262466",,"RECRUITING","IMC-F106C is an immune-mobilizing monoclonal T cell receptor against cancer (ImmTAC Â®) designed for the treatment of cancers positive for the tumor-associated antigen PRAME. This is a first-in-human trial designed to evaluate the safety and efficacy of IMC-F106C in adult patients who have the appropriate HLA-A2 tissue marker and whose cancer is positive for PRAME.","Select Advanced Solid Tumors","DRUG: IMC-F106C|DRUG: IMC-F106C and pembrolizumab|DRUG: IMC-F106C and chemotherapy|DRUG: IMC-F106C and monoclonal antibodies and chemotherapy|DRUG: IMC-F106C and tebentafusp|DRUG: IMC-F106C and bevacizumab|DRUG: IMC-F106C and kinase inhibitors","Immunocore Ltd",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",727,"INTERVENTIONAL","02/25/20 00:00:00","06/01/26 00:00:00","06/01/26 00:00:00",1,79,1,1,,,79,79,79,1,1,79,79,"1",0,,93,,,,93
"NCT04277637","Study of Bcl-2 Inhibitor BGB-11417 in Participants With Mature B-Cell Malignancies","https://clinicaltrials.gov/study/NCT04277637",,"RECRUITING","The purpose of this study is to determine the safety, tolerability; and to define the maximum tolerated dose (MTD) and Recommended Phase 2 Dose (RP2D); and to evaluate the safety and tolerability of the ramp-up dosing schedule and at the RP2D of BGB-11417 monotherapy, and when given in combination with zanubrutinib and obinutuzumab.","Mature B-Cell Malignancies","DRUG: BGB-11417|DRUG: Zanubrutinib|DRUG: obinutuzumab","BeiGene",,"ALL","ADULT, OLDER_ADULT","PHASE1",537,"INTERVENTIONAL","03/24/20 00:00:00","08/30/27 00:00:00","08/30/27 00:00:00",1,10,1,0,,,10,10,10,0,1,10,10,"2",0,,94,,,,94
"NCT04279847","Safety and Tolerability Study of INCB057643 in Participants With Myelofibrosis and Other Advanced Myeloid Neoplasms","https://clinicaltrials.gov/study/NCT04279847","LIMBER","RECRUITING","The purpose of this study is to evaluate the safety, tolerability, and preliminary efficacy of INCB057643 as monotherapy or combination with ruxolitinib for participants with myelofibrosis (MF) and other myeloid neoplasms.","Myelofibrosis|Myelodysplastic Syndrome|Myelodysplastic/Myeloproliferative Neoplasm Overlap Syndrome|Myeloproliferative Neoplasm|Relapsed or Refractory Primary Myelofibrosis|Secondary Myelofibrosis (Post-Polycythemia Vera Myelofibrosis, Post-Essential Thro","DRUG: INCB057643|DRUG: Ruxolitinib","Incyte Corporation",,"ALL","ADULT, OLDER_ADULT","PHASE1",216,"INTERVENTIONAL","02/23/21 00:00:00","11/30/24 00:00:00","12/31/24 00:00:00",0,130,1,0,,,130,130,130,0,1,130,130,"2",0,,95,,,,95
"NCT04307576","A Treatment Study Protocol for Participants 0-45 Years With Acute Lymphoblastic Leukaemia","https://clinicaltrials.gov/study/NCT04307576",,"RECRUITING","ALLTogether collects the experience of previously successful treatment of infants, children and young adults, with ALL from a number of well-renowned study groups into a new master protocol, which is both a comprehensive system for stratification and treatment of ALL in this age-group as well as the basis for several randomised and interventional trials included in the study-design.","Leukemia, Acute Lymphoblastic","DRUG: Omitted Doxorubicin|DRUG: Omitted Vincristine+Dexamethasone pulses|DRUG: Inotuzumab Ozogamicin+Standard Maintenance Therapy|DRUG: Imatinib|DRUG: 6-tioguanine+Standard Maintenance Therapy|DRUG: Blinatumomab","Mats Heyman","The Swedish Research Council|The Swedish Childhood Cancer Foundation|Pfizer|Servier|NordForsk|Aamu Pediatric Cancer Foundation|German Society for Pediatric Oncology and Hematology GPOH gGmbH|Clinical Trial Center North (CTC North GmbH & Co. KG)|Belgium He","ALL","CHILD, ADULT","PHASE3",6430,"INTERVENTIONAL","07/13/20 00:00:00","06/30/27 00:00:00","06/30/32 00:00:00",0,107,1,0,"Newly diagnosed, <45",,107,107,107,0,1,107,107,"not stated",1,,97,,,,97
"NCT04333108","Masitinib in Severe Indolent or Smoldering Systemic Mastocytosis Unresponsive to Optimal Symptomatic Treatment","https://clinicaltrials.gov/study/NCT04333108",,"RECRUITING","The purpose of this study is to evaluate the efficacy and safety of oral masitinib versus placebo in the treatment of patients suffering from smouldering or indolent systemic mastocytosis with severe symptoms of mast cell mediator release, unresponsive to optimal symptomatic treatment.","Indolent Systemic Mastocytosis","DRUG: Masitinib|OTHER: Placebo|OTHER: Best Supportive Care","AB Science",,"ALL","ADULT, OLDER_ADULT","PHASE3",140,"INTERVENTIONAL","07/01/20 00:00:00","12/01/24 00:00:00","06/01/25 00:00:00",0,404,1,0,,,404,404,404,0,1,404,404,"not stated",0,,98,,,,98
"NCT04336241","Study of RP2 Monotherapy and RP2 in Combination With Nivolumab in Patients With Solid Tumors","https://clinicaltrials.gov/study/NCT04336241",,"RECRUITING","RP2-001-18 is a Phase 1, multicenter, open label, single agent dose escalation and combination treatment study of RP2 in adult subjects with advanced solid tumors, to determine the maximum tolerated dose (MTD) and recommended Phase 2 dose (RP2D), as well as to evaluate preliminary efficacy.","Cancer","BIOLOGICAL: RP2|BIOLOGICAL: nivolumab","Replimune Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE1",36,"INTERVENTIONAL","10/17/19 00:00:00","10/31/26 00:00:00","04/30/28 00:00:00",1,129,1,0,,"Neurological tumours",129,129,129,0,1,129,129,"1",0,,99,,,,99
"NCT04351555","A Study of Osimertinib With or Without Chemotherapy Versus Chemotherapy Alone as Neoadjuvant Therapy for Patients With EGFRm Positive Resectable Non-Small Cell Lung Cancer","https://clinicaltrials.gov/study/NCT04351555","NeoADAURA","RECRUITING","This is a Phase III, randomised, controlled, 3-arm, multi-centre study of neoadjuvant osimertinib as monotherapy or in combination with chemotherapy, versus SoC chemotherapy alone, for the treatment of patients with resectable EGFRm Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","DRUG: Osimertinib|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Placebo|DRUG: Pemetrexed","AstraZeneca",,"ALL","ADULT, OLDER_ADULT","PHASE3",328,"INTERVENTIONAL","12/16/20 00:00:00",,,0,288,0,0,,,288,288,288,0,1,288,288,,0,,100,,,,100
